,Lawyer Names,Information,First_Name
1956,Siya Kalla,"Siya Kalla has 7 years of experience in Environmental Law, Civil Law, and Family Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is High Court. He charges 414.8287093536857 USD per hour. He takes 91.21937137563722 Avg Days for Disposal. He speaks: Malayalam, Hindi and Gujarati. He practices at Bora Group, and is based in Kolkata. He provides pro bono services to the community. His Client Demographics is Large Corporations.",Siya
1958,Dharmajan Chhabra,"Dharmajan Chhabra has 4 years of experience in Environmental Law, Labor Law, and Environmental Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 111.16973631529429 USD per hour. He takes 94.01213083347092 Avg Days for Disposal. He speaks: Urdu, Odia and Marathi. He practices at Barad-Upadhyay, and is based in Kolkata. She provides pro bono services to the community. Her Client Demographics is Small Businesses.",Dharmajan
1962,Emir Choudhry,"Emir Choudhry has 29 years of experience in Environmental Law, Tax Law, and Media and Entertainment Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 196.47650215676094 USD per hour. He takes 80.26502219290263 Avg Days for Disposal. He speaks: Punjabi, Hindi and Malayalam. He practices at Balasubramanian Inc, and is based in Bangalore. He provides pro bono services to the community. His Client Demographics is Small Businesses.",Emir
1964,Nirvaan Amble,"Nirvaan Amble has 21 years of experience in Consumer Protection Law, Labor Law, and Labor Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is High Court. He charges 369.4698830454108 USD per hour. He takes 69.50702493496624 Avg Days for Disposal. He speaks: Tamil, Odia and Telugu. He practices at Hari Ltd, and is based in Hyderabad. He provides pro bono services to the community. His Client Demographics is Large Corporations.",Nirvaan
1966,Dhanuk Borde,"Dhanuk Borde has 13 years of experience in Constitutional Law, Banking and Finance Law, and Consumer Protection Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is High Court. He charges 114.7255119456399 USD per hour. He takes 95.03770897080103 Avg Days for Disposal. He speaks: Kannada, Bengali and Tamil. He practices at Jha and Sons, and is based in Mumbai. She provides pro bono services to the community. Her Client Demographics is Large Corporations.",Dhanuk
1967,Nirvaan Raval,"Nirvaan Raval has 14 years of experience in Constitutional Law, Tax Law, and Constitutional Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is District Court. He charges 54.15871478248147 USD per hour. He takes 97.74595001679869 Avg Days for Disposal. He speaks: Marathi, Hindi and Gujarati. He practices at Walia-Varughese, and is based in Mumbai. He provides pro bono services to the community. His Client Demographics is Individuals.",Nirvaan
1971,Samaira Lata,"Samaira Lata has 25 years of experience in Real Estate Law, Media and Entertainment Law, and Labor Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is High Court. He charges 201.61486088453552 USD per hour. He takes 82.69985515677605 Avg Days for Disposal. He speaks: Odia, Punjabi and Bengali. He practices at Taneja-Bhavsar, and is based in Mumbai. He provides pro bono services to the community. His Client Demographics is Individuals.",Samaira
1974,Abram Sagar,"Abram Sagar has 17 years of experience in Constitutional Law, Tax Law, and Labor Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 89.12280231151438 USD per hour. He takes 89.71316730219439 Avg Days for Disposal. He speaks: Marathi, Assamese and Bengali. He practices at Jani, Manda and Deep, and is based in Chennai. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",Abram
1978,Neelofar Virk,"Neelofar Virk has 6 years of experience in Medical Law, Family Law, and Civil Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is District Court. He charges 346.2277025417708 USD per hour. He takes 98.88170850427377 Avg Days for Disposal. He speaks: Malayalam, Kannada and Marathi. He practices at Chopra-Date, and is based in Kolkata. She provides pro bono services to the community. Her Client Demographics is Small Businesses.",Neelofar
1982,Shayak Chawla,"Shayak Chawla has 15 years of experience in Family Law, Immigration Law, and Corporate Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is High Court. He charges 322.59177021153744 USD per hour. He takes 85.69335742706485 Avg Days for Disposal. He speaks: Malayalam, Telugu and Tamil. He practices at Krishna, Sama and Mani, and is based in Delhi. He does not provide pro bono services to the community. His Client Demographics is Large Corporations.",Shayak
1986,Dhanuk Roy,"Dhanuk Roy has 3 years of experience in Intellectual Property Law, Medical Law, and Intellectual Property Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 308.0307316539667 USD per hour. He takes 91.82191596299319 Avg Days for Disposal. He speaks: Gujarati, Kannada and Odia. He practices at Sinha, Virk and Tripathi, and is based in Kolkata. He provides pro bono services to the community. His Client Demographics is Large Corporations.",Dhanuk
1990,Rania Sinha,"Rania Sinha has 29 years of experience in Media and Entertainment Law, Environmental Law, and Labor Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is District Court. He charges 156.76446364571177 USD per hour. He takes 78.68552801089285 Avg Days for Disposal. He speaks: Telugu, Malayalam and Telugu. He practices at Chander LLC, and is based in Mumbai. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",Rania
